NRO;ID_ESTABLECIMIENTO;NOMBRE_OFICIAL;COORDENADAS_X;COORDENADAS_Y;RED_DE_ATENCION;INSTITUCION;NIVEL_DE_ATENCION;TIPOLOGIA;CODIGO_PROVINCIA;PROVINCIA;CODIGO_CANTON;CANTON;CODIGO_PARROQUIA;PARROQUIA;HORARIO_DE_ATENCION;AÑO;MES;ATENCIONES_CONSULTA_EXTERNA ;ATENCIONES_EMERGENCIA;EGRESOS_HOSPITALARIO;ATENCIONES_DE_AMBULANCIA;CIRUGIAS;CAMAS_CENSABLES_DOTACION;PROMEDIO_DE_CAMAS_DE_DISP;INDICE_DE_OCUPACION_DE_CAMAS;GIRO_DE_CAMA;% _ABASTECIMIENTO >1MES_GENERAL_MEDIC;%_ABASTECIMIENTO >1MES_ESENCIALES_MEDIC;%_ABASTECIMIENTO >1MES_VITALES_MEDIC;%_ABASTECIMIENTO >1MES_GENERAL_(DISPOSITIVOS_MEDICOS);EJECUCION_PRESUPUESTARIA_PRESUPUESTO_EJECUTADO;EJECUCIÓN PRESUPUESTARIA - PRESUPUESTO ASIGNADO;%_EJECUCION_PRESUPUESTARIA_RESULTADO ((Presupuesto ejecutado / Presupuesto asignado) × 100);INDICE_DE_AUSENTISMO_PACIENTE;NUMERO_DE_PROFESIONALES_ACTUALES_OPERATIVO;NUMERO_DE_PROFESIONALES_ACTUALES_ADMINISTRATIVO;NUMERO_DE_PROFESIONALES_ACTUALES_ESPECIALIDAD;%_INDICE_DE_SATISFACCION_DEL_PACIENTE
1;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Enero;11256;6415;;29;142;;;;;80,41%;;;79%;4,12273E+16;7661740;5%;31%;162;79;;89,96%
2;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Febrero;10330;5545;;51;123;;;;;76,33%;;;74%;8,71506E+15;7,9291E+16;11%;25%;161;78;;89,96%
3;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Marzo;9992;6302;;31;108;;;;;75,51%;;;73%;1,36964E+16;7,9291E+16;17%;24%;161;79;;89,96%
4;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Abril;11471;5931;;39;142;;;;;73,77%;;;71%;1,8336E+16;7,93468E+16;23%;23%;161;79;;89,96%
5;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Mayo;11512;6704;;55;126;;;;;74,39%;;;69%;226923622;7,93468E+16;29%;24%;162;76;;89,96%
6;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Junio;11776;6348;;69;111;;;;;69,11%;;;66%;274773831;7,93468E+16;35%;25%;161;75;;89,96%
7;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Julio;11401;5656;;82;129;;;;;66,67%;;;61%;3,34086E+16;7,93468E+16;42%;23%;162;74;;89,96%
8;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Agosto;9196;5005;;67;88;;;;;63,01%;;;59%;414247967;793468152;52%;22%;159;69;;89,96%
9;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Septiembre;12177;5440;;67;109;;;;;64,11%;;;59%;463720999;7,93468E+16;58%;21%;158;69;;89,96%
10;170014;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EL BATÁN;-78,473506;-0,161853;RPIS;IESS;II NIVEL;CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA);17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;170114;JIPIJAPA;06:00 - 22:00;2025;Octubre;11946;5818;;61;136;;;;;58,06%;;;55%;527238039;793468152;66%;22%;159;70;;89,96%
